Cod_Matricula;Descricao_Curso;Modalidade;Instituicao;Ultimo_Periodo_Letivo;Idade;Sexo;Situacao_Matricula;Forma_Ingresso;Semestre_Letivo_Inicial;Tempo;Cor;CR;Fez_Estágio
2591;Licenciatura em Informática;Superior;Campus Cachoeiro de Itapemirim;2012/1;36;F;Evadido;Ampla Concorrência;2011/2;1;PAR;;Não
2590;Licenciatura em Informática;Superior;Campus Cachoeiro de Itapemirim;2012/2;32;F;Evadido;Ampla Concorrência;2011/2;1,5;BRA;;Não
6304;Licenciatura em Informática;Superior;Campus Cachoeiro de Itapemirim;2019/1;34;M;Evadido;Ação Afirmativa;2017/2;2;BRA;;Não
7732;Práticas Pedagógicas para Professores;Pós-Graduação;Campus Cachoeiro de Itapemirim;2020/1;36;M;Evadido;Ação Afirmativa;2019/2;1;PAR;;Não
4016;Licenciatura em Informática;Superior;Campus Cachoeiro de Itapemirim;2014/1;37;M;Evadido;Ampla Concorrência;2014/1;0,5;PAR;;Não
6491;Licenciatura em Informática;Superior;Campus Cachoeiro de Itapemirim;2022/1;44;M;Concluído;Ampla Concorrência;2017/2;5;PAR;;Não
2686;Licenciatura em Informática;Superior;Campus Cachoeiro de Itapemirim;2018/1;35;M;Evadido;Outros;2011/2;7;PAR;;Não
189;Técnico em Eletromecânica;Concomitante;Campus Cachoeiro de Itapemirim;2006/2;32;M;Evadido;Ampla Concorrência;2006/1;1;BRA;;Não
2655;Licenciatura em Informática;Superior;Campus Cachoeiro de Itapemirim;2013/1;35;M;Evadido;Ampla Concorrência;2011/2;2;NEG;;Não
1038;Técnico em Eletromecânica;Concomitante;Campus Cachoeiro de Itapemirim;2009/1;30;M;Evadido;Ampla Concorrência;2009/1;0,5;PAR;;Não
8894;Mentoria para a Educação Profissional e Tecnológica;Pós-Graduação;Campus Cachoeiro de Itapemirim;2022/1;43;M;Evadido;Ampla Concorrência;2022/1;0,5;PAR;;Não
7748;Práticas Pedagógicas para Professores;Pós-Graduação;Campus Cachoeiro de Itapemirim;2020/2;42;M;Evadido;Ampla Concorrência;2019/2;1,5;BRA;;Não
2399;Licenciatura em Informática;Superior;Campus Cachoeiro de Itapemirim;2012/1;34;F;Evadido;Ampla Concorrência;2011/2;1;PAR;;Não
292;Técnico em Eletromecânica;Concomitante;Campus Cachoeiro de Itapemirim;2007/1;39;M;Evadido;Ampla Concorrência;2006/2;1;PAR;;Não
2428;Licenciatura em Informática;Superior;Campus Cachoeiro de Itapemirim;2015/1;37;M;Concluído;Ampla Concorrência;2011/2;4;PAR;;Não
15652;Programação com JavaScript e Node.js;FIC;Campus Cachoeiro de Itapemirim;2024/2;52;M;Evadido;Ampla Concorrência;2024/2;0,5;PAR;;Não
6360;Licenciatura em Informática;Superior;Campus Cachoeiro de Itapemirim;2025/2;46;M;Concluído;Ampla Concorrência;2017/2;8,5;BRA;;Não
6264;Licenciatura em Informática;Superior;Campus Cachoeiro de Itapemirim;2018/2;47;F;Evadido;Ampla Concorrência;2017/2;1,5;NEG;;Não
11195;Introdução à Programação com HTML5, CSS e JavaScript;FIC;Campus Cachoeiro de Itapemirim;2022/2;51;M;Concluído;Ampla Concorrência;2022/2;0,5;PAR;;Não
15164;Programação com JavaScript e Node.js;FIC;Campus Cachoeiro de Itapemirim;2024/1;44;M;Concluído;Ampla Concorrência;2024/1;0,5;NEG;;Não
2300;Técnico em Eletromecânica;Concomitante;Campus Cachoeiro de Itapemirim;2012/1;31;M;Evadido;Ampla Concorrência;2011/2;1;PAR;;Não
8601;Mentoria para a Educação Profissional e Tecnológica;Pós-Graduação;Campus Cachoeiro de Itapemirim;2022/1;35;F;Evadido;Ampla Concorrência;2022/1;0,5;PAR;;Não
2720;Licenciatura em Informática;Superior;Campus Cachoeiro de Itapemirim;2015/1;39;F;Concluído;Ampla Concorrência;2011/2;4;PAR;;Não
2409;Licenciatura em Informática;Superior;Campus Cachoeiro de Itapemirim;2012/1;30;M;Evadido;Ampla Concorrência;2011/2;1;PAR;;Não
9544;Mentoria para a Educação Profissional e Tecnológica;Pós-Graduação;Campus Cachoeiro de Itapemirim;2022/1;39;F;Evadido;Ampla Concorrência;2022/1;0,5;PAR;;Não
6834;Licenciatura em Informática;Superior;Campus Cachoeiro de Itapemirim;2023/1;64;F;Evadido;Ampla Concorrência;2018/1;5,5;BRA;;Não
13491;Introdução à Programação com HTML5, CSS e JavaScript;FIC;Campus Cachoeiro de Itapemirim;2023/2;36;M;Concluído;Ampla Concorrência;2023/2;0,5;BRA;;Não
4322;Gênero e Diversidade na Escola;Superior;Campus Cachoeiro de Itapemirim;2014/2;28;F;Concluído;Ampla Concorrência;2014/2;0,5;BRA;;Não
6527;Licenciatura em Informática;Superior;Campus Cachoeiro de Itapemirim;2018/2;37;M;Evadido;Ampla Concorrência;2017/2;1,5;BRA;;Não
9598;Mentoria para a Educação Profissional e Tecnológica;Pós-Graduação;Campus Cachoeiro de Itapemirim;2022/1;36;M;Evadido;Ampla Concorrência;2022/1;0,5;BRA;;Não
9080;Mentoria para a Educação Profissional e Tecnológica;Pós-Graduação;Campus Cachoeiro de Itapemirim;2022/1;37;F;Concluído;Ampla Concorrência;2022/1;0,5;BRA;;Não
8897;Mentoria para a Educação Profissional e Tecnológica;Pós-Graduação;Campus Cachoeiro de Itapemirim;2022/1;33;F;Evadido;Ampla Concorrência;2022/1;0,5;BRA;;Não
2021;Técnico em Eletromecânica;Concomitante;Campus Cachoeiro de Itapemirim;2012/1;22;M;Evadido;Ampla Concorrência;2011/1;1,5;BRA;;Não
3937;Licenciatura em Informática;Superior;Campus Cachoeiro de Itapemirim;2014/2;40;M;Evadido;Ampla Concorrência;2014/1;1;PAR;;Não
4400;Gênero e Diversidade na Escola;Superior;Campus Cachoeiro de Itapemirim;2015/1;29;M;Evadido;Ampla Concorrência;2014/2;1;PAR;;Não
9566;Mentoria para a Educação Profissional e Tecnológica;Pós-Graduação;Campus Cachoeiro de Itapemirim;2022/1;36;F;Concluído;Ampla Concorrência;2022/1;0,5;BRA;;Não
6462;Licenciatura em Informática;Superior;Campus Cachoeiro de Itapemirim;2021/1;31;M;Evadido;Ampla Concorrência;2017/2;4;NEG;;Não
7742;Práticas Pedagógicas para Professores;Pós-Graduação;Campus Cachoeiro de Itapemirim;2020/2;30;M;Concluído;Ampla Concorrência;2019/2;1,5;BRA;;Não
10220;Práticas Pedagógicas para a Educação Profissional e Tecnológica;Pós-Graduação;Campus Cachoeiro de Itapemirim;2022/1;33;M;Concluído;Ampla Concorrência;2022/1;0,5;BRA;;Não
14838;Programação com JavaScript e Node.js;FIC;Campus Cachoeiro de Itapemirim;2024/1;42;M;Evadido;Ampla Concorrência;2024/1;0,5;PAR;;Não
8824;Mentoria para a Educação Profissional e Tecnológica;Pós-Graduação;Campus Cachoeiro de Itapemirim;2022/1;38;M;Evadido;Ampla Concorrência;2022/1;0,5;BRA;;Não
15051;Programação com JavaScript e Node.js;FIC;Campus Cachoeiro de Itapemirim;2024/1;40;M;Concluído;Ampla Concorrência;2024/1;0,5;BRA;;Não
187;Técnico em Eletromecânica;Concomitante;Campus Cachoeiro de Itapemirim;2006/2;25;F;Evadido;Ampla Concorrência;2006/1;1;BRA;;Não
2447;Licenciatura em Informática;Superior;Campus Cachoeiro de Itapemirim;2019/1;27;M;Concluído;Ampla Concorrência;2011/2;8;PAR;;Não
6470;Licenciatura em Informática;Superior;Campus Cachoeiro de Itapemirim;2021/1;33;M;Evadido;Ampla Concorrência;2017/2;4;PAR;;Não
6211;Licenciatura em Informática;Superior;Campus Cachoeiro de Itapemirim;2025/2;40;F;Concluído;Ampla Concorrência;2017/2;8,5;PAR;75,21;Não
2711;Licenciatura em Informática;Superior;Campus Cachoeiro de Itapemirim;2011/2;25;M;Evadido;Ampla Concorrência;2011/2;0,5;NEG;;Não
9850;Mentoria para a Educação Profissional e Tecnológica;Pós-Graduação;Campus Cachoeiro de Itapemirim;2022/1;39;F;Concluído;Ampla Concorrência;2022/1;0,5;PAR;;Não
8913;Mentoria para a Educação Profissional e Tecnológica;Pós-Graduação;Campus Cachoeiro de Itapemirim;2022/1;39;M;Evadido;Ampla Concorrência;2022/1;0,5;BRA;;Não
6838;Licenciatura em Informática;Superior;Campus Cachoeiro de Itapemirim;2019/1;49;M;Evadido;Ampla Concorrência;2018/1;1,5;BRA;;Não
2460;Licenciatura em Informática;Superior;Campus Cachoeiro de Itapemirim;2015/1;38;M;Concluído;Ampla Concorrência;2011/2;4;PAR;;Não
2162;Licenciatura em Matemática;Superior;Campus Cachoeiro de Itapemirim;2011/1;38;M;Evadido;Ampla Concorrência;2011/1;0,5;PAR;;Não
6553;Licenciatura em Informática;Superior;Campus Cachoeiro de Itapemirim;2019/1;32;F;Evadido;Ampla Concorrência;2017/2;2;PAR;;Não
6557;Licenciatura em Informática;Superior;Campus Cachoeiro de Itapemirim;2019/1;32;F;Evadido;Ampla Concorrência;2017/2;2;PAR;;Não
2445;Licenciatura em Informática;Superior;Campus Cachoeiro de Itapemirim;2011/2;30;F;Evadido;Ampla Concorrência;2011/2;0,5;PAR;;Não
9329;Mentoria para a Educação Profissional e Tecnológica;Pós-Graduação;Campus Cachoeiro de Itapemirim;2022/1;39;M;Evadido;Ampla Concorrência;2022/1;0,5;NEG;;Não
6488;Licenciatura em Informática;Superior;Campus Cachoeiro de Itapemirim;2019/1;33;M;Evadido;Ampla Concorrência;2017/2;2;PAR;;Não
6353;Licenciatura em Informática;Superior;Campus Cachoeiro de Itapemirim;2022/2;37;M;Concluído;Ação Afirmativa;2017/2;5,5;PAR;;Não
2493;Licenciatura em Informática;Superior;Campus Cachoeiro de Itapemirim;2011/2;44;M;Evadido;Ampla Concorrência;2011/2;0,5;BRA;;Não
6831;Licenciatura em Informática;Superior;Campus Cachoeiro de Itapemirim;2022/1;43;M;Concluído;Ampla Concorrência;2018/1;4,5;PAR;;Não
8774;Mentoria para a Educação Profissional e Tecnológica;Pós-Graduação;Campus Cachoeiro de Itapemirim;2022/1;34;M;Evadido;Ampla Concorrência;2022/1;0,5;BRA;;Não
6546;Licenciatura em Informática;Superior;Campus Cachoeiro de Itapemirim;2025/2;32;M;Concluído;Ampla Concorrência;2017/2;8,5;PAR;;Não
2319;Engenharia de Minas;Superior;Campus Cachoeiro de Itapemirim;2012/1;25;M;Evadido;Ampla Concorrência;2011/2;1;NEG;;Não
14763;Tecnologias de Produção de Rochas Ornamentais;Pós-Graduação;Campus Cachoeiro de Itapemirim;2024/1;35;M;Evadido;Ampla Concorrência;2024/1;0,5;PAR;;Não
7754;Práticas Pedagógicas para Professores;Pós-Graduação;Campus Cachoeiro de Itapemirim;2020/2;34;M;Evadido;Ampla Concorrência;2019/2;1,5;BRA;;Não
6184;Licenciatura em Informática;Superior;Campus Cachoeiro de Itapemirim;2021/2;32;M;Evadido;Ampla Concorrência;2017/2;4,5;PAR;;Não
9062;Mentoria para a Educação Profissional e Tecnológica;Pós-Graduação;Campus Cachoeiro de Itapemirim;2022/1;34;M;Evadido;Ampla Concorrência;2022/1;0,5;BRA;;Não
4438;Técnico em Eletromecânica;Concomitante;Campus Cachoeiro de Itapemirim;2015/1;25;M;Evadido;Ampla Concorrência;2014/2;1;PAR;;Não
8073;Engenharia de Minas;Superior;Campus Cachoeiro de Itapemirim;2022/1;36;M;Evadido;Ação Afirmativa;2020/2;2;PAR;;Não
3960;Licenciatura em Informática;Superior;Campus Cachoeiro de Itapemirim;2016/2;35;F;Evadido;Ampla Concorrência;2014/1;3;BRA;;Não
6229;Licenciatura em Informática;Superior;Campus Cachoeiro de Itapemirim;2021/2;35;F;Evadido;Ampla Concorrência;2017/2;4,5;BRA;;Não
3640;Técnico em Mineração;Concomitante;Campus Cachoeiro de Itapemirim;2014/1;28;F;Evadido;Ampla Concorrência;2013/2;1;PAR;;Não
2342;Engenharia de Minas;Superior;Campus Cachoeiro de Itapemirim;2015/1;19;F;Evadido;Ampla Concorrência;2011/2;4;AMA;;Não
8369;Tecnologias de Produção de Rochas Ornamentais;Pós-Graduação;Campus Cachoeiro de Itapemirim;2021/2;34;M;Evadido;Ampla Concorrência;2021/1;1;BRA;;Não
14886;Programação com JavaScript e Node.js;FIC;Campus Cachoeiro de Itapemirim;2024/1;40;F;Evadido;Ampla Concorrência;2024/1;0,5;PAR;;Não
130;Técnico em Eletromecânica;Concomitante;Campus Cachoeiro de Itapemirim;2006/1;26;M;Evadido;Ampla Concorrência;2006/1;0,5;NÃO;;Não
131;Técnico em Eletromecânica;Concomitante;Campus Cachoeiro de Itapemirim;2006/1;36;M;Evadido;Ampla Concorrência;2006/1;0,5;NÃO;;Não
188;Técnico em Eletromecânica;Concomitante;Campus Cachoeiro de Itapemirim;2008/1;24;M;Evadido;Ampla Concorrência;2006/1;2,5;BRA;;Não
1;Técnico em Eletromecânica;Concomitante;Campus Cachoeiro de Itapemirim;2006/1;50;M;Evadido;Ampla Concorrência;2005/2;1;BRA;;Não
2;Técnico em Eletromecânica;Concomitante;Campus Cachoeiro de Itapemirim;2007/1;25;M;Concluído;Ampla Concorrência;2005/2;2;BRA;;Sim
5;Técnico em Eletromecânica;Concomitante;Campus Cachoeiro de Itapemirim;2007/1;31;M;Concluído;Ampla Concorrência;2005/2;2;PAR;;Sim
3;Técnico em Eletromecânica;Concomitante;Campus Cachoeiro de Itapemirim;2007/1;34;M;Concluído;Ampla Concorrência;2005/2;2;AMA;;Sim
4;Técnico em Eletromecânica;Concomitante;Campus Cachoeiro de Itapemirim;2007/1;18;F;Evadido;Ampla Concorrência;2005/2;2;PAR;;Não
1899;Engenharia de Minas;Superior;Campus Cachoeiro de Itapemirim;2021/1;23;F;Concluído;Ampla Concorrência;2010/2;11;PAR;;Sim
6;Técnico em Eletromecânica;Concomitante;Campus Cachoeiro de Itapemirim;2008/1;20;M;Evadido;Ampla Concorrência;2005/2;3;BRA;;Não
7;Técnico em Eletromecânica;Concomitante;Campus Cachoeiro de Itapemirim;2007/1;23;M;Concluído;Ampla Concorrência;2005/2;2;PAR;;Sim
7228;Tecnologias de Produção de Rochas Ornamentais;Pós-Graduação;Campus Cachoeiro de Itapemirim;2019/2;36;M;Concluído;Ação Afirmativa;2018/2;1,5;PAR;;Não
8;Técnico em Eletromecânica;Concomitante;Campus Cachoeiro de Itapemirim;2007/1;18;M;Concluído;Ampla Concorrência;2005/2;2;BRA;;Sim
9;Técnico em Eletromecânica;Concomitante;Campus Cachoeiro de Itapemirim;2007/1;17;M;Concluído;Ampla Concorrência;2005/2;2;BRA;;Sim
11;Técnico em Eletromecânica;Concomitante;Campus Cachoeiro de Itapemirim;2007/2;17;M;Concluído;Ampla Concorrência;2005/2;2,5;AMA;;Sim
13;Técnico em Eletromecânica;Concomitante;Campus Cachoeiro de Itapemirim;2007/2;23;M;Concluído;Ampla Concorrência;2005/2;2,5;PAR;;Sim
14;Técnico em Eletromecânica;Concomitante;Campus Cachoeiro de Itapemirim;2007/1;29;M;Concluído;Ampla Concorrência;2005/2;2;NEG;;Sim
15;Técnico em Eletromecânica;Concomitante;Campus Cachoeiro de Itapemirim;2008/2;31;M;Concluído;Ampla Concorrência;2005/2;3,5;PAR;;Sim
10;Técnico em Eletromecânica;Concomitante;Campus Cachoeiro de Itapemirim;2008/1;26;M;Concluído;Ampla Concorrência;2005/2;3;PAR;;Sim
12;Técnico em Eletromecânica;Concomitante;Campus Cachoeiro de Itapemirim;2007/1;18;M;Concluído;Ampla Concorrência;2005/2;2;BRA;;Sim
16;Técnico em Eletromecânica;Concomitante;Campus Cachoeiro de Itapemirim;2007/2;18;M;Concluído;Ampla Concorrência;2005/2;2,5;NEG;;Sim
17;Técnico em Eletromecânica;Concomitante;Campus Cachoeiro de Itapemirim;2007/1;24;M;Concluído;Ampla Concorrência;2005/2;2;PAR;;Sim
2183;Licenciatura em Matemática;Superior;Campus Cachoeiro de Itapemirim;2013/1;30;M;Evadido;Ampla Concorrência;2011/1;2,5;PAR;;Não
18;Técnico em Eletromecânica;Concomitante;Campus Cachoeiro de Itapemirim;2006/1;21;M;Evadido;Ampla Concorrência;2005/2;1;BRA;;Não
19;Técnico em Eletromecânica;Concomitante;Campus Cachoeiro de Itapemirim;2006/1;23;M;Evadido;Ampla Concorrência;2005/2;1;BRA;;Não
20;Técnico em Eletromecânica;Concomitante;Campus Cachoeiro de Itapemirim;2007/1;17;M;Concluído;Ampla Concorrência;2005/2;2;PAR;;Sim
21;Técnico em Eletromecânica;Concomitante;Campus Cachoeiro de Itapemirim;2007/2;34;M;Evadido;Ampla Concorrência;2005/2;2,5;BRA;;Não
22;Técnico em Eletromecânica;Concomitante;Campus Cachoeiro de Itapemirim;2007/1;23;M;Concluído;Ampla Concorrência;2005/2;2;BRA;;Sim
23;Técnico em Eletromecânica;Concomitante;Campus Cachoeiro de Itapemirim;2007/1;27;M;Evadido;Ampla Concorrência;2005/2;2;PAR;;Não
24;Técnico em Eletromecânica;Concomitante;Campus Cachoeiro de Itapemirim;2007/1;26;M;Concluído;Ampla Concorrência;2005/2;2;PAR;;Sim
7945;Técnico em Informática;Concomitante;Campus Cachoeiro de Itapemirim;2022/1;36;M;Evadido;Ampla Concorrência;2020/1;2,5;BRA;;Não
26;Técnico em Eletromecânica;Concomitante;Campus Cachoeiro de Itapemirim;2007/2;21;M;Evadido;Ampla Concorrência;2005/2;2,5;BRA;;Não
28;Técnico em Eletromecânica;Concomitante;Campus Cachoeiro de Itapemirim;2007/1;18;M;Concluído;Ampla Concorrência;2005/2;2;PAR;;Sim
