Instituicao;Descricao_Curso;Modalidade;Desc_Disciplina;Semestre_Letivo;Sit_Disciplina_Aluno;qtd_alunos;percentual
Campus Cachoeiro de Itapemirim;Técnico em Eletromecânica;Concomitante;Eletrônica;2022/1;Aprovado;1;100.000 %
Campus Cachoeiro de Itapemirim;Técnico em Eletromecânica;Concomitante;Eletrônica;2024/1;Aprovado;3;100.000 %
Campus Cachoeiro de Itapemirim;Técnico em Eletromecânica;Concomitante;Eletrônica;2024/1;Aprovado;1;100.000 %
Campus Cachoeiro de Itapemirim;Técnico em Eletromecânica;Concomitante;Eletrônica;2025/1;Aprovado;2;100.000 %
Campus Cachoeiro de Itapemirim;Técnico em Eletromecânica;Concomitante;Eletrônica;2025/1;Aprovado;2;100.000 %
Campus Cachoeiro de Itapemirim;Técnico em Eletromecânica;Concomitante;Eletrônica;2025/2;Aprovado;11;100.000 %
Campus Cachoeiro de Itapemirim;Técnico em Eletromecânica;Concomitante;Eletrônica;2026/1;Aprovado;9;90.000 %
Campus Cachoeiro de Itapemirim;Técnico em Eletromecânica;Concomitante;Eletrônica;2026/1;Aprovado /Rep. no Módulo;1;10.000 %
Campus Cachoeiro de Itapemirim;Técnico em Eletromecânica;Concomitante;Inglês técnico;2026/1;Aprovado;9;90.000 %
Campus Cachoeiro de Itapemirim;Técnico em Eletromecânica;Concomitante;Inglês técnico;2026/1;Reprovado;1;10.000 %
Campus Cachoeiro de Itapemirim;Técnico em Eletromecânica;Concomitante;Inglês técnico;2025/2;Aprovado;11;100.000 %
Campus Cachoeiro de Itapemirim;Técnico em Eletromecânica;Concomitante;Inglês técnico;2025/1;Aprovado;4;100.000 %
Campus Cachoeiro de Itapemirim;Técnico em Eletromecânica;Concomitante;Inglês técnico;2024/1;Aprovado;4;100.000 %
Campus Cachoeiro de Itapemirim;Técnico em Eletromecânica;Concomitante;Inglês técnico;2022/1;Aprovado;1;100.000 %
Campus Cachoeiro de Itapemirim;Técnico em Eletromecânica;Concomitante;Gestão empreendedora;2022/2;Aprovado;1;100.000 %
Campus Cachoeiro de Itapemirim;Técnico em Eletromecânica;Concomitante;Gestão empreendedora;2024/2;Aprovado /Rep. no Módulo;1;33.330 %
Campus Cachoeiro de Itapemirim;Técnico em Eletromecânica;Concomitante;Gestão empreendedora;2024/2;Aprovado;2;66.670 %
Campus Cachoeiro de Itapemirim;Técnico em Eletromecânica;Concomitante;Gestão empreendedora;2025/2;Reprovado;1;33.330 %
Campus Cachoeiro de Itapemirim;Técnico em Eletromecânica;Concomitante;Gestão empreendedora;2025/2;Aprovado;2;66.670 %
Campus Cachoeiro de Itapemirim;Técnico em Eletromecânica;Concomitante;Gestão empreendedora;2026/1;Reprovado;1;8.330 %
Campus Cachoeiro de Itapemirim;Técnico em Eletromecânica;Concomitante;Gestão empreendedora;2026/1;Aprovado;10;83.330 %
Campus Cachoeiro de Itapemirim;Técnico em Eletromecânica;Concomitante;Gestão empreendedora;2026/1;Aproveit. Disciplina;1;8.330 %
Campus Cachoeiro de Itapemirim;Técnico em Eletromecânica;Concomitante;Máquinas elétricas;2026/1;Aprovado;1;100.000 %
Campus Cachoeiro de Itapemirim;Técnico em Eletromecânica;Concomitante;Máquinas elétricas;2026/1;Aprovado;10;100.000 %
Campus Cachoeiro de Itapemirim;Técnico em Eletromecânica;Concomitante;Máquinas elétricas;2025/2;Aprovado;1;100.000 %
Campus Cachoeiro de Itapemirim;Técnico em Eletromecânica;Concomitante;Máquinas elétricas;2025/2;Aprovado;2;100.000 %
Campus Cachoeiro de Itapemirim;Técnico em Eletromecânica;Concomitante;Máquinas elétricas;2024/2;Aprovado;1;100.000 %
Campus Cachoeiro de Itapemirim;Técnico em Eletromecânica;Concomitante;Máquinas elétricas;2024/2;Aprovado;1;50.000 %
Campus Cachoeiro de Itapemirim;Técnico em Eletromecânica;Concomitante;Máquinas elétricas;2024/2;Reprovado;1;50.000 %
Campus Cachoeiro de Itapemirim;Técnico em Eletromecânica;Concomitante;Máquinas elétricas;2022/2;Aprovado;1;100.000 %
Campus Cachoeiro de Itapemirim;Técnico em Eletromecânica;Concomitante;Automação industrial;2023/1;Aprovado;1;100.000 %
Campus Cachoeiro de Itapemirim;Técnico em Eletromecânica;Concomitante;Automação industrial;2026/1;Aprovado;1;50.000 %
Campus Cachoeiro de Itapemirim;Técnico em Eletromecânica;Concomitante;Automação industrial;2026/1;Reprovado;1;50.000 %
Campus Cachoeiro de Itapemirim;Técnico em Eletromecânica;Concomitante;Automação industrial;2025/1;Aprovado;1;100.000 %
Campus Cachoeiro de Itapemirim;Técnico em Eletromecânica;Concomitante;Automação industrial;2025/1;Aprovado;1;100.000 %
Campus Cachoeiro de Itapemirim;Técnico em Eletromecânica;Concomitante;Máquinas térmicas;2025/1;Aprovado;2;100.000 %
Campus Cachoeiro de Itapemirim;Técnico em Eletromecânica;Concomitante;Máquinas térmicas;2026/1;Reprovado;1;50.000 %
Campus Cachoeiro de Itapemirim;Técnico em Eletromecânica;Concomitante;Máquinas térmicas;2026/1;Aprovado;1;50.000 %
Campus Cachoeiro de Itapemirim;Técnico em Eletromecânica;Concomitante;Máquinas térmicas;2023/1;Aprovado;1;100.000 %
Campus Cachoeiro de Itapemirim;Técnico em Eletromecânica;Concomitante;Hidráulica e pneumática;2023/1;Aprovado;1;100.000 %
Campus Cachoeiro de Itapemirim;Técnico em Eletromecânica;Concomitante;Hidráulica e pneumática;2026/1;Aprovado;1;50.000 %
Campus Cachoeiro de Itapemirim;Técnico em Eletromecânica;Concomitante;Hidráulica e pneumática;2026/1;Reprovado;1;50.000 %
Campus Cachoeiro de Itapemirim;Técnico em Eletromecânica;Concomitante;Hidráulica e pneumática;2025/1;Aprovado;1;100.000 %
Campus Cachoeiro de Itapemirim;Técnico em Eletromecânica;Concomitante;Hidráulica e pneumática;2025/1;Aprovado;1;100.000 %
Campus Cachoeiro de Itapemirim;Técnico em Eletromecânica;Concomitante;Legislação trabalhista;2026/1;Aprovado;10;83.330 %
Campus Cachoeiro de Itapemirim;Técnico em Eletromecânica;Concomitante;Legislação trabalhista;2026/1;Aproveit. Disciplina;1;8.330 %
Campus Cachoeiro de Itapemirim;Técnico em Eletromecânica;Concomitante;Legislação trabalhista;2026/1;Reprovado;1;100.000 %
Campus Cachoeiro de Itapemirim;Técnico em Eletromecânica;Concomitante;Legislação trabalhista;2026/1;Reprovado;1;8.330 %
Campus Cachoeiro de Itapemirim;Técnico em Eletromecânica;Concomitante;Legislação trabalhista;2025/2;Aprovado;1;33.330 %
Campus Cachoeiro de Itapemirim;Técnico em Eletromecânica;Concomitante;Legislação trabalhista;2025/2;Reprovado;2;66.670 %
Campus Cachoeiro de Itapemirim;Técnico em Eletromecânica;Concomitante;Legislação trabalhista;2024/2;Aprovado /Rep. no Módulo;1;33.330 %
Campus Cachoeiro de Itapemirim;Técnico em Eletromecânica;Concomitante;Legislação trabalhista;2024/2;Aprovado;2;66.670 %
Campus Cachoeiro de Itapemirim;Técnico em Eletromecânica;Concomitante;Legislação trabalhista;2022/2;Aprovado;1;100.000 %
Campus Cachoeiro de Itapemirim;Técnico em Eletromecânica;Concomitante;Planejamento e controle da manutenção;2022/2;Aprovado;1;100.000 %
Campus Cachoeiro de Itapemirim;Técnico em Eletromecânica;Concomitante;Planejamento e controle da manutenção;2024/2;Aprovado;2;66.670 %
Campus Cachoeiro de Itapemirim;Técnico em Eletromecânica;Concomitante;Planejamento e controle da manutenção;2024/2;Reprovado;1;33.330 %
Campus Cachoeiro de Itapemirim;Técnico em Eletromecânica;Concomitante;Planejamento e controle da manutenção;2025/2;Reprovado;1;33.330 %
