Ano;Média LC;Média CH;Média CN;Média MT;Média Redação;Média Objetivas;Média Geral;Alunos;Posição País;Posição Estado;Posição Cidade
2025;601,3;595,2;590,9;675,3;741,4;615,7;640,8;144;1278;26;2
2024;588,7;598,5;583,5;659,6;807,8;607,6;647,6;123;1077;21;2
2023;606,9;620,2;605,9;700,3;838,9;633,3;674,4;70;332;9;1
2022;589,9;606,0;579,8;668,3;792,7;611,0;647,3;79;652;21;2
2021;591,2;622,7;614,1;694,6;766,0;630,6;657,7;77;308;10;1
2020;611,4;645,8;620,3;716,7;816,5;648,5;682,1;68;160;6;1
2019;606,9;628,1;607,4;722,7;820,0;641,3;677,0;68;236;7;1
2018;623,7;675,4;650,4;735,7;795,1;671,3;696,0;53;139;5;1
2017;579,4;634,6;640,8;720,3;714,3;643,8;657,9;53;328;13;1
2016;605,3;647,7;628,1;678,7;703,6;640,0;652,7;56;438;14;1
2015;602,6;660,5;622,3;683,0;684,2;642,1;650,5;67;320;7;2
2014;594,4;645,0;619,2;673,6;635,7;633,1;633,6;60;495;15;3
2013;602,4;664,4;637,5;723,3;671,2;656,9;659,8;52;144;4;1
