Cod_Matricula;Instituicao;Descricao_Curso;Modalidade;Forma_Ingresso;Semestre_Letivo_Inicial;Periodo_Min;Periodo_Max;Disc_Faltam;Periodo_Falta;Previsao_Formar;Previsao_Formar;OK_Tempo;Tempo_Curso
4357;Campus Cachoeiro de Itapemirim;Gênero e Diversidade na Escola;Superior;Ampla Concorrência;2014/1;1;1;1;0,5;2014,0;2026,5;12,5;0,5
4383;Campus Cachoeiro de Itapemirim;Gênero e Diversidade na Escola;Superior;Ampla Concorrência;2014/2;1;1;1;0,5;2014,5;2026,5;12;0,5
5778;Campus Cachoeiro de Itapemirim;Educação Especial;Extensão;Outros;2017/2;1;1;1;0,5;2017,5;2026,5;9;0,5
5779;Campus Cachoeiro de Itapemirim;Educação Especial;Extensão;Outros;2017/2;1;1;1;0,5;2017,5;2026,5;9;0,5
5780;Campus Cachoeiro de Itapemirim;Educação Especial;Extensão;Outros;2017/2;1;1;1;0,5;2017,5;2026,5;9;0,5
5781;Campus Cachoeiro de Itapemirim;Educação Especial;Extensão;Outros;2017/2;1;1;1;0,5;2017,5;2026,5;9;0,5
5788;Campus Cachoeiro de Itapemirim;Educação Especial;Extensão;Outros;2017/2;1;1;1;0,5;2017,5;2026,5;9;0,5
5791;Campus Cachoeiro de Itapemirim;Educação Especial;Extensão;Outros;2017/2;1;1;1;0,5;2017,5;2026,5;9;0,5
5793;Campus Cachoeiro de Itapemirim;Educação Especial;Extensão;Outros;2017/2;1;1;1;0,5;2017,5;2026,5;9;0,5
5794;Campus Cachoeiro de Itapemirim;Educação Especial;Extensão;Outros;2017/2;1;1;1;0,5;2017,5;2026,5;9;0,5
5796;Campus Cachoeiro de Itapemirim;Educação Especial;Extensão;Outros;2017/2;1;1;1;0,5;2017,5;2026,5;9;0,5
5798;Campus Cachoeiro de Itapemirim;Educação Especial;Extensão;Outros;2017/2;1;1;1;0,5;2017,5;2026,5;9;0,5
5799;Campus Cachoeiro de Itapemirim;Educação Especial;Extensão;Outros;2017/2;1;1;1;0,5;2017,5;2026,5;9;0,5
5800;Campus Cachoeiro de Itapemirim;Educação Especial;Extensão;Outros;2017/2;1;1;1;0,5;2017,5;2026,5;9;0,5
