Ano;Carga Horaria;Carga Horaria Mínima;Categoria da Situação;Cor / Raça;Data de Fim Previsto do Ciclo;Data de Inicio do Ciclo;Faixa Etária;Fator Esforço Curso;Fonte de Financiamento;Idade;Instituição;Modalidade de Ensino;Nome de Curso;Renda Familiar;Sexo;Tipo de Curso;Tipo de Oferta;Turno;Unidade de Ensino;CH_Corrigida;QTDC;CHMD;CHA;FECH;DACP1;DACP2;DACP3;DACP4;DACP5;FEDA;FECHDA;MECHDA;PC;MP;AGRO;BA;MT;CMT;MT_FINAL;AE_Peso;MAE
2023;3600;3600;Concluídos;Branca;07/07/2018;15/10/2013;30 a 34 anos;1,137;Sem Programa Associado;30;Instituto Federal do Espírito Santo;Educação Presencial;Engenharia de Minas;0,5<RFP<=1;F;Bacharelado;Não se aplica;Integral;Campus Cachoeiro de Itapemirim;3600;1727;2,085;760,857;0,951;0;0;0;0;182,5;0,5;0,476;0;2,5;0;0;0;0;1;0;2,5;0
2023;2870;2400;Em Curso;Branca;14/07/2017;14/02/2014;30 a 34 anos;1;UAB;33;Instituto Federal do Espírito Santo;Educação a Distância;Informática;0<RFP<=0,5;F;Licenciatura;Não se aplica;Não se aplica;Campus Cachoeiro de Itapemirim;2400;1247;1,925;702,486;0,878;0;0;0;0;182,5;0,5;0,439;0;2,5;0;0;0;0;0,25;0;2;0
2023;2870;2400;Concluídos;Branca;14/07/2017;14/02/2014;55 a 59 anos;1;UAB;59;Instituto Federal do Espírito Santo;Educação a Distância;Informática;0,5<RFP<=1;M;Licenciatura;Não se aplica;Não se aplica;Campus Cachoeiro de Itapemirim;2400;1247;1,925;702,486;0,878;0;0;0;0;182,5;0,5;0,439;0;2,5;0;0;0;0;0,25;0;2,5;0
2023;4275;3600;Evadidos;Parda;05/04/2019;07/04/2014;25 a 29 anos;1,078;Sem Programa Associado;29;Instituto Federal do Espírito Santo;Educação Presencial;Engenharia Mecânica;0,5<RFP<=1;M;Bacharelado;Não se aplica;Integral;Campus Cachoeiro de Itapemirim;3600;1825;1,973;720;0,9;0;0;0;0;182,5;0,5;0,45;0;2,5;0;0;0;0;1;0;2,5;0
2023;4275;3600;Evadidos;Não declarada;05/04/2019;07/04/2014;25 a 29 anos;1,078;Sem Programa Associado;28;Instituto Federal do Espírito Santo;Educação Presencial;Engenharia Mecânica;1,5<RFP<=2,5;M;Bacharelado;Não se aplica;Integral;Campus Cachoeiro de Itapemirim;3600;1825;1,973;720;0,9;0;0;0;0;182,5;0,5;0,45;0;2,5;0;0;0;0;1;0;1,5;0
2023;4275;3600;Em Curso;Parda;05/04/2019;07/04/2014;35 a 39 anos;1,078;Sem Programa Associado;35;Instituto Federal do Espírito Santo;Educação Presencial;Engenharia Mecânica;1<RFP<=1,5;M;Bacharelado;Não se aplica;Integral;Campus Cachoeiro de Itapemirim;3600;1825;1,973;720;0,9;0;0;0;0;182,5;0,5;0,45;0;2,5;0;0;0;0;1;0;1;0
2023;4275;3600;Evadidos;Branca;05/04/2019;07/04/2014;40 a 44 anos;1,078;Sem Programa Associado;43;Instituto Federal do Espírito Santo;Educação Presencial;Engenharia Mecânica;1,5<RFP<=2,5;M;Bacharelado;Não se aplica;Integral;Campus Cachoeiro de Itapemirim;3600;1825;1,973;720;0,9;0;0;0;0;182,5;0,5;0,45;0;2,5;0;0;0;0;1;0;1,5;0
2023;3600;3600;Em Curso;Branca;07/07/2019;01/12/2014;30 a 34 anos;1,137;Sem Programa Associado;31;Instituto Federal do Espírito Santo;Educação Presencial;Engenharia de Minas;0,5<RFP<=1;M;Bacharelado;Não se aplica;Integral;Campus Cachoeiro de Itapemirim;3600;1680;2,143;782,143;0,978;0;0;0;0;182,5;0,5;0,489;0;2,5;0;0;0;0;1;0;2,5;0
2023;3600;3600;Em Curso;Parda;07/07/2019;01/12/2014;25 a 29 anos;1,137;Sem Programa Associado;28;Instituto Federal do Espírito Santo;Educação Presencial;Engenharia de Minas;0<RFP<=0,5;M;Bacharelado;Não se aplica;Integral;Campus Cachoeiro de Itapemirim;3600;1680;2,143;782,143;0,978;0;0;0;0;182,5;0,5;0,489;0;2,5;0;0;0;0;1;0;2;0
2023;3225;3000;Concluídos;Parda;20/12/2019;23/02/2015;35 a 39 anos;1,008;Sem Programa Associado;35;Instituto Federal do Espírito Santo;Educação Presencial;Sistemas de Informação;1<RFP<=1,5;F;Bacharelado;Não se aplica;Integral;Campus Cachoeiro de Itapemirim;3000;1762;1,703;621,453;0,777;0;0;0;0;182,5;0,5;0,388;0;2;0;0;0;0;1;0;1;0
