Ano;Instituição;Estrutura com Matrícula;Modalidade de Ensino;Tipo de Curso;Tipo de Oferta;Nome do Curso;Turno do Curso;Eficiência Acadêmica;Conclusão Ciclo;Evasão Ciclo;Retenção Ciclo
2025;IFES;Campus Cachoeiro de Itapemirim;Educação a Distância;Qualificação Profissional (FIC);Não se aplica;Qualificação Profissional (FIC) - Informação e Comunicação;Não se aplica;50,69%;443;431;
2025;IFES;Campus Cachoeiro de Itapemirim;Educação Presencial;Técnico;Concomitante;Técnico em Eletromecânica;Noturno;30,56%;22;50;
2025;IFES;Campus Cachoeiro de Itapemirim;Educação Presencial;Técnico;Concomitante;Técnico em Informática;Noturno;47,14%;33;37;2
2025;IFES;Campus Cachoeiro de Itapemirim;Educação Presencial;Técnico;Concomitante;Técnico em Mecânica;Vespertino;75,00%;15;5;
2025;IFES;Campus Cachoeiro de Itapemirim;Educação Presencial;Técnico;Concomitante;Técnico em Mineração;Noturno;27,66%;13;34;26
2025;IFES;Campus Cachoeiro de Itapemirim;Educação Presencial;Técnico;Concomitante;Técnico em Mineração;Vespertino;95,00%;19;1;
2025;IFES;Campus Cachoeiro de Itapemirim;Educação Presencial;Técnico;Integrado;Técnico em Eletromecânica;Matutino;61,54%;24;15;
2025;IFES;Campus Cachoeiro de Itapemirim;Educação Presencial;Técnico;Integrado;Técnico em Informática;Matutino;86,49%;32;5;
2025;IFES;Campus Cachoeiro de Itapemirim;Educação Presencial;Bacharelado;Não se aplica;Bacharelado em Sistemas de Informação;Integral;48,15%;13;14;7
2025;IFES;Campus Cachoeiro de Itapemirim;Educação Presencial;Bacharelado;Não se aplica;Engenharia de Minas;Integral;16,00%;4;21;3
2025;IFES;Campus Cachoeiro de Itapemirim;Educação Presencial;Bacharelado;Não se aplica;Engenharia Mecânica;Integral;12,50%;3;21;6
2025;IFES;Campus Cachoeiro de Itapemirim;Educação Presencial;Licenciatura;Não se aplica;Licenciatura em Matemática;Noturno;10,71%;3;25;2
2024;IFES;Campus Cachoeiro de Itapemirim;Educação a Distância;Qualificação Profissional (FIC);Não se aplica;Qualificação Profissional (FIC) - Informação e Comunicação;Não se aplica;38,73%;1279;2023;
2024;IFES;Campus Cachoeiro de Itapemirim;Educação a Distância;Especialização (Lato Sensu);Não se aplica;Pós-graduação Lato Sensu em Práticas Pedagógicas para a Ept;Não se aplica;30,00%;12;28;
2024;IFES;Campus Cachoeiro de Itapemirim;Educação Presencial;Técnico;Concomitante;Técnico em Eletromecânica;Noturno;36,67%;22;38;1
2024;IFES;Campus Cachoeiro de Itapemirim;Educação Presencial;Técnico;Concomitante;Técnico em Informática;Noturno;35,29%;18;33;
