Instituição;Estrutura com Matrícula;Modalidade de Ensino;Tipo de Curso;Tipo de Oferta;Nome do Curso;Turno do Curso;Ano;Matrículas;Matrículas Equivalentes;Vagas;Inscritos;Ingressantes;Concluintes
IFES;Campus Cachoeiro de Itapemirim;Educação a Distância;Qualificação Profissional (FIC);Não se aplica;Qualificação Profissional (FIC) - Informação e Comunicação;Não se aplica;2017;;;;;;
IFES;Campus Cachoeiro de Itapemirim;Educação a Distância;Qualificação Profissional (FIC);Não se aplica;Qualificação Profissional (FIC) - Informação e Comunicação;Não se aplica;2018;;;;;;
IFES;Campus Cachoeiro de Itapemirim;Educação a Distância;Qualificação Profissional (FIC);Não se aplica;Qualificação Profissional (FIC) - Informação e Comunicação;Não se aplica;2019;;;;;;
IFES;Campus Cachoeiro de Itapemirim;Educação a Distância;Qualificação Profissional (FIC);Não se aplica;Qualificação Profissional (FIC) - Informação e Comunicação;Não se aplica;2020;;;;;;
IFES;Campus Cachoeiro de Itapemirim;Educação a Distância;Qualificação Profissional (FIC);Não se aplica;Qualificação Profissional (FIC) - Informação e Comunicação;Não se aplica;2021;;;;;;
IFES;Campus Cachoeiro de Itapemirim;Educação a Distância;Qualificação Profissional (FIC);Não se aplica;Qualificação Profissional (FIC) - Informação e Comunicação;Não se aplica;2022;;;;;;
IFES;Campus Cachoeiro de Itapemirim;Educação a Distância;Qualificação Profissional (FIC);Não se aplica;Qualificação Profissional (FIC) - Informação e Comunicação;Não se aplica;2023;4.065;894,30;3.227;7.169;2.928;1.279
IFES;Campus Cachoeiro de Itapemirim;Educação a Distância;Qualificação Profissional (FIC);Não se aplica;Qualificação Profissional (FIC) - Informação e Comunicação;Não se aplica;2024;873;192,06;110;110;109;443
IFES;Campus Cachoeiro de Itapemirim;Educação a Distância;Qualificação Profissional (FIC);Não se aplica;Qualificação Profissional (FIC) - Informação e Comunicação;Não se aplica;2025;;;;;;
IFES;Campus Cachoeiro de Itapemirim;Educação a Distância;Licenciatura;Não se aplica;Licenciatura em Informática;Não se aplica;2017;565;;500;812;463;39
IFES;Campus Cachoeiro de Itapemirim;Educação a Distância;Licenciatura;Não se aplica;Licenciatura em Informática;Não se aplica;2018;690;;;;138;40
IFES;Campus Cachoeiro de Itapemirim;Educação a Distância;Licenciatura;Não se aplica;Licenciatura em Informática;Não se aplica;2019;444;;;;;4
IFES;Campus Cachoeiro de Itapemirim;Educação a Distância;Licenciatura;Não se aplica;Licenciatura em Informática;Não se aplica;2020;339;;;;;1
IFES;Campus Cachoeiro de Itapemirim;Educação a Distância;Licenciatura;Não se aplica;Licenciatura em Informática;Não se aplica;2021;292;292,00;;;;2
IFES;Campus Cachoeiro de Itapemirim;Educação a Distância;Licenciatura;Não se aplica;Licenciatura em Informática;Não se aplica;2022;234;234,00;;;;134
IFES;Campus Cachoeiro de Itapemirim;Educação a Distância;Licenciatura;Não se aplica;Licenciatura em Informática;Não se aplica;2023;61;61,00;;;;22
IFES;Campus Cachoeiro de Itapemirim;Educação a Distância;Licenciatura;Não se aplica;Licenciatura em Informática;Não se aplica;2024;39;39,00;;;;11
IFES;Campus Cachoeiro de Itapemirim;Educação a Distância;Licenciatura;Não se aplica;Licenciatura em Informática;Não se aplica;2025;24;24,00;;;;9
IFES;Campus Cachoeiro de Itapemirim;Educação a Distância;Especialização (Lato Sensu);Não se aplica;Ensino de Ciências Naturais;Não se aplica;2017;;;;;;
IFES;Campus Cachoeiro de Itapemirim;Educação a Distância;Especialização (Lato Sensu);Não se aplica;Ensino de Ciências Naturais;Não se aplica;2018;;;;;;
IFES;Campus Cachoeiro de Itapemirim;Educação a Distância;Especialização (Lato Sensu);Não se aplica;Ensino de Ciências Naturais;Não se aplica;2019;;;;;;
IFES;Campus Cachoeiro de Itapemirim;Educação a Distância;Especialização (Lato Sensu);Não se aplica;Ensino de Ciências Naturais;Não se aplica;2020;;;;;;
IFES;Campus Cachoeiro de Itapemirim;Educação a Distância;Especialização (Lato Sensu);Não se aplica;Ensino de Ciências Naturais;Não se aplica;2021;;;;;;
IFES;Campus Cachoeiro de Itapemirim;Educação a Distância;Especialização (Lato Sensu);Não se aplica;Ensino de Ciências Naturais;Não se aplica;2022;;;;;;
IFES;Campus Cachoeiro de Itapemirim;Educação a Distância;Especialização (Lato Sensu);Não se aplica;Ensino de Ciências Naturais;Não se aplica;2023;;;;;;
IFES;Campus Cachoeiro de Itapemirim;Educação a Distância;Especialização (Lato Sensu);Não se aplica;Ensino de Ciências Naturais;Não se aplica;2024;30;30,00;30;153;30;
IFES;Campus Cachoeiro de Itapemirim;Educação a Distância;Especialização (Lato Sensu);Não se aplica;Ensino de Ciências Naturais;Não se aplica;2025;30;30,00;;;;
IFES;Campus Cachoeiro de Itapemirim;Educação a Distância;Especialização (Lato Sensu);Não se aplica;Especialização - Desenvolvimento Educacional e Social;Não se aplica;2017;;;;;;
IFES;Campus Cachoeiro de Itapemirim;Educação a Distância;Especialização (Lato Sensu);Não se aplica;Especialização - Desenvolvimento Educacional e Social;Não se aplica;2018;;;;;;
IFES;Campus Cachoeiro de Itapemirim;Educação a Distância;Especialização (Lato Sensu);Não se aplica;Especialização - Desenvolvimento Educacional e Social;Não se aplica;2019;40;40,00;40;478;40;
IFES;Campus Cachoeiro de Itapemirim;Educação a Distância;Especialização (Lato Sensu);Não se aplica;Especialização - Desenvolvimento Educacional e Social;Não se aplica;2020;39;39,00;;;;11
IFES;Campus Cachoeiro de Itapemirim;Educação a Distância;Especialização (Lato Sensu);Não se aplica;Especialização - Desenvolvimento Educacional e Social;Não se aplica;2021;;;;;;
IFES;Campus Cachoeiro de Itapemirim;Educação a Distância;Especialização (Lato Sensu);Não se aplica;Especialização - Desenvolvimento Educacional e Social;Não se aplica;2022;1.264;1.264,00;1.240;2.939;1.242;637
IFES;Campus Cachoeiro de Itapemirim;Educação a Distância;Especialização (Lato Sensu);Não se aplica;Especialização - Desenvolvimento Educacional e Social;Não se aplica;2023;31;31,00;;;;11
IFES;Campus Cachoeiro de Itapemirim;Educação a Distância;Especialização (Lato Sensu);Não se aplica;Especialização - Desenvolvimento Educacional e Social;Não se aplica;2024;;;;;;
IFES;Campus Cachoeiro de Itapemirim;Educação a Distância;Especialização (Lato Sensu);Não se aplica;Especialização - Desenvolvimento Educacional e Social;Não se aplica;2025;;;;;;
IFES;Campus Cachoeiro de Itapemirim;Educação a Distância;Especialização (Lato Sensu);Não se aplica;Especialização (Lato Sensu) - Desenvolvimento Educacional e Social;Não se aplica;2017;;;;;;
IFES;Campus Cachoeiro de Itapemirim;Educação a Distância;Especialização (Lato Sensu);Não se aplica;Especialização (Lato Sensu) - Desenvolvimento Educacional e Social;Não se aplica;2018;;;;;;
IFES;Campus Cachoeiro de Itapemirim;Educação a Distância;Especialização (Lato Sensu);Não se aplica;Especialização (Lato Sensu) - Desenvolvimento Educacional e Social;Não se aplica;2019;;;;;;
IFES;Campus Cachoeiro de Itapemirim;Educação a Distância;Especialização (Lato Sensu);Não se aplica;Especialização (Lato Sensu) - Desenvolvimento Educacional e Social;Não se aplica;2020;;;;;;
IFES;Campus Cachoeiro de Itapemirim;Educação a Distância;Especialização (Lato Sensu);Não se aplica;Especialização (Lato Sensu) - Desenvolvimento Educacional e Social;Não se aplica;2021;40;40,00;40;230;40;
IFES;Campus Cachoeiro de Itapemirim;Educação a Distância;Especialização (Lato Sensu);Não se aplica;Especialização (Lato Sensu) - Desenvolvimento Educacional e Social;Não se aplica;2022;;;;;;
IFES;Campus Cachoeiro de Itapemirim;Educação a Distância;Especialização (Lato Sensu);Não se aplica;Especialização (Lato Sensu) - Desenvolvimento Educacional e Social;Não se aplica;2023;;;;;;
IFES;Campus Cachoeiro de Itapemirim;Educação a Distância;Especialização (Lato Sensu);Não se aplica;Especialização (Lato Sensu) - Desenvolvimento Educacional e Social;Não se aplica;2024;;;;;;
IFES;Campus Cachoeiro de Itapemirim;Educação a Distância;Especialização (Lato Sensu);Não se aplica;Especialização (Lato Sensu) - Desenvolvimento Educacional e Social;Não se aplica;2025;;;;;;
IFES;Campus Cachoeiro de Itapemirim;Educação a Distância;Especialização (Lato Sensu);Não se aplica;Programa Especial de Formação Pedagógica de Docentes;Não se aplica;2017;;;;;;
IFES;Campus Cachoeiro de Itapemirim;Educação a Distância;Especialização (Lato Sensu);Não se aplica;Programa Especial de Formação Pedagógica de Docentes;Não se aplica;2018;;;;;;
IFES;Campus Cachoeiro de Itapemirim;Educação a Distância;Especialização (Lato Sensu);Não se aplica;Programa Especial de Formação Pedagógica de Docentes;Não se aplica;2019;;;;;;
IFES;Campus Cachoeiro de Itapemirim;Educação a Distância;Especialização (Lato Sensu);Não se aplica;Programa Especial de Formação Pedagógica de Docentes;Não se aplica;2020;;;;;;
IFES;Campus Cachoeiro de Itapemirim;Educação a Distância;Especialização (Lato Sensu);Não se aplica;Programa Especial de Formação Pedagógica de Docentes;Não se aplica;2021;13;14,56;;;;
IFES;Campus Cachoeiro de Itapemirim;Educação a Distância;Especialização (Lato Sensu);Não se aplica;Programa Especial de Formação Pedagógica de Docentes;Não se aplica;2022;1;1,00;;;;1
