Ano;Instituição;Estrutura com Matrícula;Modalidade de Ensino;Tipo de Curso;Tipo de Oferta;Nome do Curso;Turno do Curso;Situação;Fluxo Escolar;FluxoRetido;Matrículas
2025;IFES;Campus Cachoeiro de Itapemirim;Educação a Distância;Licenciatura;Não se aplica;Licenciatura em Informática;Não se aplica;Concluintes;Concluída;Em fluxo;6
2025;IFES;Campus Cachoeiro de Itapemirim;Educação a Distância;Licenciatura;Não se aplica;Licenciatura em Informática;Não se aplica;Concluintes;Integralizada;Em fluxo;3
2025;IFES;Campus Cachoeiro de Itapemirim;Educação a Distância;Licenciatura;Não se aplica;Licenciatura em Informática;Não se aplica;Em curso;Em curso;Em fluxo;
2025;IFES;Campus Cachoeiro de Itapemirim;Educação a Distância;Licenciatura;Não se aplica;Licenciatura em Informática;Não se aplica;Em curso;Em curso;Retido;7
2025;IFES;Campus Cachoeiro de Itapemirim;Educação a Distância;Licenciatura;Não se aplica;Licenciatura em Informática;Não se aplica;Evadidos;Abandono;Em fluxo;
2025;IFES;Campus Cachoeiro de Itapemirim;Educação a Distância;Licenciatura;Não se aplica;Licenciatura em Informática;Não se aplica;Evadidos;Desligada;Em fluxo;8
2025;IFES;Campus Cachoeiro de Itapemirim;Educação a Distância;Licenciatura;Não se aplica;Licenciatura em Informática;Não se aplica;Evadidos;Transf. externa;Em fluxo;
2025;IFES;Campus Cachoeiro de Itapemirim;Educação a Distância;Especialização (Lato Sensu);Não se aplica;Ensino de Ciências Naturais;Não se aplica;Concluintes;Concluída;Em fluxo;
2025;IFES;Campus Cachoeiro de Itapemirim;Educação a Distância;Especialização (Lato Sensu);Não se aplica;Ensino de Ciências Naturais;Não se aplica;Concluintes;Integralizada;Em fluxo;
2025;IFES;Campus Cachoeiro de Itapemirim;Educação a Distância;Especialização (Lato Sensu);Não se aplica;Ensino de Ciências Naturais;Não se aplica;Em curso;Em curso;Em fluxo;
2025;IFES;Campus Cachoeiro de Itapemirim;Educação a Distância;Especialização (Lato Sensu);Não se aplica;Ensino de Ciências Naturais;Não se aplica;Em curso;Em curso;Retido;29
2025;IFES;Campus Cachoeiro de Itapemirim;Educação a Distância;Especialização (Lato Sensu);Não se aplica;Ensino de Ciências Naturais;Não se aplica;Evadidos;Abandono;Em fluxo;
2025;IFES;Campus Cachoeiro de Itapemirim;Educação a Distância;Especialização (Lato Sensu);Não se aplica;Ensino de Ciências Naturais;Não se aplica;Evadidos;Desligada;Em fluxo;1
2025;IFES;Campus Cachoeiro de Itapemirim;Educação a Distância;Especialização (Lato Sensu);Não se aplica;Ensino de Ciências Naturais;Não se aplica;Evadidos;Transf. externa;Em fluxo;
2025;IFES;Campus Cachoeiro de Itapemirim;Educação Presencial;Qualificação Profissional (FIC);Concomitante;Qualificação Profissional (FIC) - Desenvolvimento Educacional e Social;Vespertino;Concluintes;Concluída;Em fluxo;31
2025;IFES;Campus Cachoeiro de Itapemirim;Educação Presencial;Qualificação Profissional (FIC);Concomitante;Qualificação Profissional (FIC) - Desenvolvimento Educacional e Social;Vespertino;Concluintes;Integralizada;Em fluxo;
2025;IFES;Campus Cachoeiro de Itapemirim;Educação Presencial;Qualificação Profissional (FIC);Concomitante;Qualificação Profissional (FIC) - Desenvolvimento Educacional e Social;Vespertino;Em curso;Em curso;Em fluxo;
2025;IFES;Campus Cachoeiro de Itapemirim;Educação Presencial;Qualificação Profissional (FIC);Concomitante;Qualificação Profissional (FIC) - Desenvolvimento Educacional e Social;Vespertino;Em curso;Em curso;Retido;
2025;IFES;Campus Cachoeiro de Itapemirim;Educação Presencial;Qualificação Profissional (FIC);Concomitante;Qualificação Profissional (FIC) - Desenvolvimento Educacional e Social;Vespertino;Evadidos;Abandono;Em fluxo;5
2025;IFES;Campus Cachoeiro de Itapemirim;Educação Presencial;Qualificação Profissional (FIC);Concomitante;Qualificação Profissional (FIC) - Desenvolvimento Educacional e Social;Vespertino;Evadidos;Desligada;Em fluxo;
2025;IFES;Campus Cachoeiro de Itapemirim;Educação Presencial;Qualificação Profissional (FIC);Concomitante;Qualificação Profissional (FIC) - Desenvolvimento Educacional e Social;Vespertino;Evadidos;Transf. externa;Em fluxo;
2025;IFES;Campus Cachoeiro de Itapemirim;Educação Presencial;Qualificação Profissional (FIC);Não se aplica;Qualificação Profissional (FIC) - Produção Industrial;Noturno;Concluintes;Concluída;Em fluxo;
