Cod_Matricula;Situacao_Matricula;Forma_Ingresso;Semestre_Letivo_Inicial;Desc_Curso;Modalidade;Instituicao;Desc_Disciplina;Quantidade_Reprovacoes
7286;Evadido;Ampla Concorrência;2019/1;Técnico em Eletromecânica;Integrado;Campus Cachoeiro de Itapemirim;História;3
7286;Evadido;Ampla Concorrência;2019/1;Técnico em Eletromecânica;Integrado;Campus Cachoeiro de Itapemirim;Língua portuguesa e literatura brasileira;1
7286;Evadido;Ampla Concorrência;2019/1;Técnico em Eletromecânica;Integrado;Campus Cachoeiro de Itapemirim;Matemática;1
7286;Evadido;Ampla Concorrência;2019/1;Técnico em Eletromecânica;Integrado;Campus Cachoeiro de Itapemirim;Física;2
7286;Evadido;Ampla Concorrência;2019/1;Técnico em Eletromecânica;Integrado;Campus Cachoeiro de Itapemirim;Química;2
7286;Evadido;Ampla Concorrência;2019/1;Técnico em Eletromecânica;Integrado;Campus Cachoeiro de Itapemirim;Biologia;2
7286;Evadido;Ampla Concorrência;2019/1;Técnico em Eletromecânica;Integrado;Campus Cachoeiro de Itapemirim;História;2
7286;Evadido;Ampla Concorrência;2019/1;Técnico em Eletromecânica;Integrado;Campus Cachoeiro de Itapemirim;Geografia;1
7286;Evadido;Ampla Concorrência;2019/1;Técnico em Eletromecânica;Integrado;Campus Cachoeiro de Itapemirim;Filosofia / sociologia;1
7286;Evadido;Ampla Concorrência;2019/1;Técnico em Eletromecânica;Integrado;Campus Cachoeiro de Itapemirim;Tecnologia de materiais;2
7286;Evadido;Ampla Concorrência;2019/1;Técnico em Eletromecânica;Integrado;Campus Cachoeiro de Itapemirim;Eletrônica: analógica e digital;1
7286;Evadido;Ampla Concorrência;2019/1;Técnico em Eletromecânica;Integrado;Campus Cachoeiro de Itapemirim;Máquinas elétricas;2
7286;Evadido;Ampla Concorrência;2019/1;Técnico em Eletromecânica;Integrado;Campus Cachoeiro de Itapemirim;CAD - Desenho por computador;2
7286;Evadido;Ampla Concorrência;2019/1;Técnico em Eletromecânica;Integrado;Campus Cachoeiro de Itapemirim;Educação física;1
7362;Evadido;Ampla Concorrência;2019/1;Técnico em Informática;Integrado;Campus Cachoeiro de Itapemirim;Química;2
7362;Evadido;Ampla Concorrência;2019/1;Técnico em Informática;Integrado;Campus Cachoeiro de Itapemirim;Língua portuguesa e literatura brasileira;1
7362;Evadido;Ampla Concorrência;2019/1;Técnico em Informática;Integrado;Campus Cachoeiro de Itapemirim;Matemática 2;1
7362;Evadido;Ampla Concorrência;2019/1;Técnico em Informática;Integrado;Campus Cachoeiro de Itapemirim;Física 2;1
7362;Evadido;Ampla Concorrência;2019/1;Técnico em Informática;Integrado;Campus Cachoeiro de Itapemirim;Química 2;1
7362;Evadido;Ampla Concorrência;2019/1;Técnico em Informática;Integrado;Campus Cachoeiro de Itapemirim;Biologia 2;1
7362;Evadido;Ampla Concorrência;2019/1;Técnico em Informática;Integrado;Campus Cachoeiro de Itapemirim;História;1
7362;Evadido;Ampla Concorrência;2019/1;Técnico em Informática;Integrado;Campus Cachoeiro de Itapemirim;Geografia;1
7362;Evadido;Ampla Concorrência;2019/1;Técnico em Informática;Integrado;Campus Cachoeiro de Itapemirim;Filosofia / sociologia;1
7362;Evadido;Ampla Concorrência;2019/1;Técnico em Informática;Integrado;Campus Cachoeiro de Itapemirim;Inglês;1
7362;Evadido;Ampla Concorrência;2019/1;Técnico em Informática;Integrado;Campus Cachoeiro de Itapemirim;Fundamentos matemáticos computacionais;1
7362;Evadido;Ampla Concorrência;2019/1;Técnico em Informática;Integrado;Campus Cachoeiro de Itapemirim;Programação I;1
7362;Evadido;Ampla Concorrência;2019/1;Técnico em Informática;Integrado;Campus Cachoeiro de Itapemirim;Redes de computadores;1
7362;Evadido;Ampla Concorrência;2019/1;Técnico em Informática;Integrado;Campus Cachoeiro de Itapemirim;Modelagem de dados;1
7282;Evadido;Ampla Concorrência;2019/1;Técnico em Eletromecânica;Integrado;Campus Cachoeiro de Itapemirim;Língua portuguesa e literatura brasileira;1
7282;Evadido;Ampla Concorrência;2019/1;Técnico em Eletromecânica;Integrado;Campus Cachoeiro de Itapemirim;Matemática;1
7282;Evadido;Ampla Concorrência;2019/1;Técnico em Eletromecânica;Integrado;Campus Cachoeiro de Itapemirim;Física;1
7282;Evadido;Ampla Concorrência;2019/1;Técnico em Eletromecânica;Integrado;Campus Cachoeiro de Itapemirim;Química;1
7282;Evadido;Ampla Concorrência;2019/1;Técnico em Eletromecânica;Integrado;Campus Cachoeiro de Itapemirim;Biologia 2;1
7282;Evadido;Ampla Concorrência;2019/1;Técnico em Eletromecânica;Integrado;Campus Cachoeiro de Itapemirim;História;1
7282;Evadido;Ampla Concorrência;2019/1;Técnico em Eletromecânica;Integrado;Campus Cachoeiro de Itapemirim;Geografia;1
7282;Evadido;Ampla Concorrência;2019/1;Técnico em Eletromecânica;Integrado;Campus Cachoeiro de Itapemirim;Educação física;1
7282;Evadido;Ampla Concorrência;2019/1;Técnico em Eletromecânica;Integrado;Campus Cachoeiro de Itapemirim;Filosofia / sociologia;1
7282;Evadido;Ampla Concorrência;2019/1;Técnico em Eletromecânica;Integrado;Campus Cachoeiro de Itapemirim;Artes;1
7282;Evadido;Ampla Concorrência;2019/1;Técnico em Eletromecânica;Integrado;Campus Cachoeiro de Itapemirim;Inglês;1
7282;Evadido;Ampla Concorrência;2019/1;Técnico em Eletromecânica;Integrado;Campus Cachoeiro de Itapemirim;Eletricidade;1
7282;Evadido;Ampla Concorrência;2019/1;Técnico em Eletromecânica;Integrado;Campus Cachoeiro de Itapemirim;Elementos de máquinas e resistência de materiais;1
8127;Concluído;Ampla Concorrência;2021/1;Técnico em Eletromecânica;Integrado;Campus Cachoeiro de Itapemirim;Matemática;1
8135;Concluído;Ampla Concorrência;2021/1;Técnico em Eletromecânica;Integrado;Campus Cachoeiro de Itapemirim;Língua portuguesa e literatura brasileira;1
8135;Concluído;Ampla Concorrência;2021/1;Técnico em Eletromecânica;Integrado;Campus Cachoeiro de Itapemirim;Matemática;1
8135;Concluído;Ampla Concorrência;2021/1;Técnico em Eletromecânica;Integrado;Campus Cachoeiro de Itapemirim;Física;1
8135;Concluído;Ampla Concorrência;2021/1;Técnico em Eletromecânica;Integrado;Campus Cachoeiro de Itapemirim;Química;1
8135;Concluído;Ampla Concorrência;2021/1;Técnico em Eletromecânica;Integrado;Campus Cachoeiro de Itapemirim;Biologia;2
8135;Concluído;Ampla Concorrência;2021/1;Técnico em Eletromecânica;Integrado;Campus Cachoeiro de Itapemirim;História;1
8135;Concluído;Ampla Concorrência;2021/1;Técnico em Eletromecânica;Integrado;Campus Cachoeiro de Itapemirim;Geografia;1
8135;Concluído;Ampla Concorrência;2021/1;Técnico em Eletromecânica;Integrado;Campus Cachoeiro de Itapemirim;Filosofia / sociologia;1
8135;Concluído;Ampla Concorrência;2021/1;Técnico em Eletromecânica;Integrado;Campus Cachoeiro de Itapemirim;Inglês;1
8135;Concluído;Ampla Concorrência;2021/1;Técnico em Eletromecânica;Integrado;Campus Cachoeiro de Itapemirim;Segurança, meio ambiente e saúde;1
8135;Concluído;Ampla Concorrência;2021/1;Técnico em Eletromecânica;Integrado;Campus Cachoeiro de Itapemirim;Informática;1
8135;Concluído;Ampla Concorrência;2021/1;Técnico em Eletromecânica;Integrado;Campus Cachoeiro de Itapemirim;Desenho técnico;1
8135;Concluído;Ampla Concorrência;2021/1;Técnico em Eletromecânica;Integrado;Campus Cachoeiro de Itapemirim;Metrologia;1
8135;Concluído;Ampla Concorrência;2021/1;Técnico em Eletromecânica;Integrado;Campus Cachoeiro de Itapemirim;Biologia 2;2
9989;Concluído;Ampla Concorrência;2022/1;Técnico em Eletromecânica;Integrado;Campus Cachoeiro de Itapemirim;Biologia;1
8207;Concluído;Ampla Concorrência;2021/1;Técnico em Informática;Integrado;Campus Cachoeiro de Itapemirim;Biologia 2;2
8208;Concluído;Ampla Concorrência;2021/1;Técnico em Informática;Integrado;Campus Cachoeiro de Itapemirim;Física 2;1
6728;Evadido;Ampla Concorrência;2018/1;Técnico em Informática;Integrado;Campus Cachoeiro de Itapemirim;Matemática;1
6737;Concluído;Ampla Concorrência;2018/1;Técnico em Informática;Integrado;Campus Cachoeiro de Itapemirim;Fundamentos matemáticos computacionais;1
6657;Concluído;Ampla Concorrência;2018/1;Técnico em Eletromecânica;Integrado;Campus Cachoeiro de Itapemirim;Matemática;1
6657;Concluído;Ampla Concorrência;2018/1;Técnico em Eletromecânica;Integrado;Campus Cachoeiro de Itapemirim;Língua portuguesa e literatura brasileira;1
6657;Concluído;Ampla Concorrência;2018/1;Técnico em Eletromecânica;Integrado;Campus Cachoeiro de Itapemirim;Matemática;1
6657;Concluído;Ampla Concorrência;2018/1;Técnico em Eletromecânica;Integrado;Campus Cachoeiro de Itapemirim;Física;1
6657;Concluído;Ampla Concorrência;2018/1;Técnico em Eletromecânica;Integrado;Campus Cachoeiro de Itapemirim;Química;1
6657;Concluído;Ampla Concorrência;2018/1;Técnico em Eletromecânica;Integrado;Campus Cachoeiro de Itapemirim;Biologia 2;1
6657;Concluído;Ampla Concorrência;2018/1;Técnico em Eletromecânica;Integrado;Campus Cachoeiro de Itapemirim;História;1
6657;Concluído;Ampla Concorrência;2018/1;Técnico em Eletromecânica;Integrado;Campus Cachoeiro de Itapemirim;Geografia;1
6657;Concluído;Ampla Concorrência;2018/1;Técnico em Eletromecânica;Integrado;Campus Cachoeiro de Itapemirim;Educação física;1
