Semestre;Campus;Curso;Modalidade;Turno;Inscritos;Vagas;Cand x Vaga
2027/1;Cachoeiro De Itapemirim;Eletrotécnica;Integrado;Matutino;168;36;4,67
2027/1;Cachoeiro De Itapemirim;Informática para Internet;Integrado;Matutino;380;40;9,5
2027/1;Cachoeiro De Itapemirim;Mecânica;Integrado;Vespertino;83;36;2,31
2027/1;Cachoeiro de Itapemirim;Mineração;Integrado;Vespertino;186;36;5,17
2026/2;Cachoeiro De Itapemirim;Eletromecânica;Concomitante;Noturno;21;18;1,17
2026/2;Cachoeiro De Itapemirim;Informática para Internet;Concomitante;Noturno;12;20;0,6
2026/2;Cachoeiro De Itapemirim;Mineração;Concomitante;Noturno;6;18;0,33
2026/1;Cachoeiro de Itapemirim;Eletromecânica;Integrado;Vespertino;322;40;8,05
2026/1;Cachoeiro de Itapemirim;Informática para Internet;Integrado;Vespertino;507;40;12,68
2026/1;Cachoeiro de Itapemirim;Eletromecânica;Concomitante;Noturno;10;36;0,28
2026/1;Cachoeiro de Itapemirim;Informática para Internet;Concomitante;Noturno;15;40;0,38
2026/1;Cachoeiro de Itapemirim;Mineração;Concomitante;Noturno;15;36;0,42
2025/2;Cachoeiro de Itapemirim;Eletromecânica;Concomitante;Noturno;15;36;0,42
2025/2;Cachoeiro de Itapemirim;Informática para Internet;Concomitante;Noturno;11;40;0,28
2025/2;Cachoeiro de Itapemirim;Mineração;Concomitante;Noturno;10;36;0,28
2025/1;Cachoeiro de Itapemirim;Eletromecânica;Integrado;Matutino;260;40;6,5
2025/1;Cachoeiro de Itapemirim;Informática para Internet;Integrado;Matutino;494;40;12,35
2025/1;Cachoeiro de Itapemirim;Eletromecânica;Concomitante;Noturno;14;18;0,78
2025/1;Cachoeiro de Itapemirim;Informática para Internet;Concomitante;Noturno;26;20;1,3
2025/1;Cachoeiro de Itapemirim;Mineração;Concomitante;Noturno;19;18;1,06
2024/2;Cachoeiro de Itapemirim;Eletromecânica;Concomitante;Noturno;17;36;0,47
2024/2;Cachoeiro de Itapemirim;Informática para Internet;Concomitante;Noturno;30;40;0,75
2024/2;Cachoeiro de Itapemirim;Mineração;Concomitante;Noturno;10;36;0,28
2024/1;Cachoeiro de Itapemirim;Eletromecânica;Integrado;Vespertino;300;40;7,5
2024/1;Cachoeiro de Itapemirim;Eletromecânica;Concomitante;Noturno;16;18;0,89
2024/1;Cachoeiro de Itapemirim;Informática para Internet;Concomitante;Noturno;36;18;2
2024/1;Cachoeiro de Itapemirim;Mineração;Concomitante;Noturno;40;18;2,22
2023/2;Cachoeiro de Itapemirim;Eletromecânica;Concomitante;Noturno;18;36;0,5
2023/2;Cachoeiro de Itapemirim;Informática;Concomitante;Noturno;19;36;0,53
2023/2;Cachoeiro de Itapemirim;Mineração;Concomitante;Noturno;17;36;0,47
2023/1;Cachoeiro de Itapemirim;Eletromecânica;Integrado;Matutino;226;40;5,65
2023/1;Cachoeiro de Itapemirim;Eletromecânica;Concomitante;Noturno;35;36;0,97
2023/1;Cachoeiro de Itapemirim;Informática;Integrado;Matutino;406;40;10,15
2023/1;Cachoeiro de Itapemirim;Informática;Concomitante;Noturno;48;36;1,33
2023/1;Cachoeiro de Itapemirim;Mineração;Concomitante;Noturno;36;36;1
2022/2;Cachoeiro de Itapemirim;Eletromecânica;Concomitante;Noturno;12;36;0,33
2022/2;Cachoeiro de Itapemirim;Informática;Concomitante;Noturno;34;36;0,94
2022/2;Cachoeiro de Itapemirim;Mineração;Concomitante;Noturno;18;36;0,5
2022/1;Cachoeiro de Itapemirim;Administração;Concomitante;Noturno;20;40;0,5
2022/1;Cachoeiro de Itapemirim;Eletromecânica;Integrado;Vespertino;189;40;4,73
2022/1;Cachoeiro de Itapemirim;Eletromecânica;Concomitante;Noturno;18;36;0,5
2022/1;Cachoeiro de Itapemirim;Informática;Integrado;Vespertino;456;40;11,4
2022/1;Cachoeiro de Itapemirim;Informática;Concomitante;Noturno;45;36;1,25
2022/1;Cachoeiro de Itapemirim;Mineração;Concomitante;Noturno;18;36;0,5
2021/2;Cachoeiro de Itapemirim;Eletromecânica;Concomitante;Noturno;107;33;3,24
2021/2;Cachoeiro de Itapemirim;Informática;Concomitante;Noturno;160;34;4,71
2021/2;Cachoeiro de Itapemirim;Mineração;Concomitante;Noturno;93;34;2,74
2021/1;Cachoeiro de Itapemirim;Eletromecânica;Integrado;Matutino;205;40;5,13
2021/1;Cachoeiro de Itapemirim;Eletromecânica;Concomitante;Noturno;198;32;6,19
2021/1;Cachoeiro de Itapemirim;Informática;Integrado;Matutino;372;40;9,3
2021/1;Cachoeiro de Itapemirim;Informática;Concomitante;Noturno;308;32;9,63
2021/1;Cachoeiro de Itapemirim;Mineração;Concomitante;Noturno;145;32;4,53
2020/1;Cachoeiro de Itapemirim;Eletromecânica;Integrado;Vespertino;319;40;7,98
2020/1;Cachoeiro de Itapemirim;Eletromecânica;Concomitante;Noturno;70;36;1,94
2020/1;Cachoeiro de Itapemirim;Informática;Integrado;Vespertino;502;40;12,55
2020/1;Cachoeiro de Itapemirim;Informática;Concomitante;Noturno;71;36;1,97
2020/1;Cachoeiro de Itapemirim;Mineração;Concomitante;Noturno;52;36;1,44
2019/2;Cachoeiro de Itapemirim;Eletromecânica;Concomitante;Noturno;102;36;2,83
2019/2;Cachoeiro de Itapemirim;Informática;Concomitante;Noturno;60;36;1,67
2019/2;Cachoeiro de Itapemirim;Mineração;Concomitante;Noturno;57;36;1,58
2019/1;Cachoeiro de Itapemirim;Eletromecânica;Concomitante;Noturno;76;36;2,11
2019/1;Cachoeiro de Itapemirim;Eletromecânica;Integrado;Matutino;344;40;8,6
2019/1;Cachoeiro de Itapemirim;Informática;Concomitante;Noturno;65;36;1,81
2019/1;Cachoeiro de Itapemirim;Informática;Integrado;Matutino;419;40;10,48
2019/1;Cachoeiro de Itapemirim;Mineração;Concomitante;Noturno;59;36;1,64
2018/2;Cachoeiro de Itapemirim;Eletromecânica;Concomitante;Noturno;68;36;1,89
2018/2;Cachoeiro de Itapemirim;Informática;Concomitante;Noturno;49;36;1,36
2018/2;Cachoeiro de Itapemirim;Mineração;Concomitante;Noturno;38;36;1,06
2018/1;Cachoeiro de Itapemirim;Eletromecânica;Concomitante;Noturno;99;36;2,75
2018/1;Cachoeiro de Itapemirim;Eletromecânica;Integrado;Vespertino;288;40;7,2
2018/1;Cachoeiro de Itapemirim;Informática;Concomitante;Noturno;72;36;2
2018/1;Cachoeiro de Itapemirim;Informática;Integrado;Vespertino;391;40;9,78
2018/1;Cachoeiro de Itapemirim;Mineração;Concomitante;Noturno;80;36;2,22
2017/2;Cachoeiro de Itapemirim;Eletromecânica;Concomitante;Noturno;48;36;1,33
2017/2;Cachoeiro de Itapemirim;Informática;Concomitante;Noturno;68;36;1,89
2017/2;Cachoeiro de Itapemirim;Mineração;Concomitante;Noturno;40;36;1,11
