Semestre;Edital;Link
2027/1;46/2026;https://www.ifes.edu.br/processosseletivos/alunos/item/3497-ps-46-2026-cursos-tecnicos-integrados-ao-ensino-medio-2027-1
2026/2;19/2026 e 20/2026;https://www.ifes.edu.br/processosseletivos/alunos/item/3450-ps-19-2026-cursos-tecnicos-integrados-ao-ensino-medio-2026-2 e https://www.ifes.edu.br/processosseletivos/alunos/item/3451-ps-20-2026-cursos-tecnicos-concomitantes-e-subsequentes-2026-2
2026/1;71/2025 e 72/2025;https://www.ifes.edu.br/processosseletivos/alunos/item/3333-ps-71-2025-cursos-tecnicos-integrados-ao-ensino-medio-2026-1 e https://www.ifes.edu.br/processosseletivos/alunos/item/3334-ps-72-2025-cursos-tecnicos-concomitantes-e-subsequentes-2026-1
2025/2;31/2025 e 32/2025;https://www.ifes.edu.br/processosseletivos/alunos/item/3275-ps-31-2025-cursos-tecnicos-integrados-ao-ensino-medio e https://www.ifes.edu.br/processosseletivos/alunos/item/3276-ps-32-2025-cursos-tecnicos-concomitantes-e-subsequentes
2025/1;53/2024 e 54/2024;https://www.ifes.edu.br/processosseletivos/alunos/item/3151-ps-53-2024-cursos-tecnicos-integrados-ao-ensino-medio e https://www.ifes.edu.br/processosseletivos/alunos/item/3152-ps-54-2024-cursos-tecnicos-concomitantes-e-subsequentes
2024/2;23/2024 e 24/2024;https://www.ifes.edu.br/processosseletivos/alunos/item/3092-ps-23-2024-cursos-tecnicos-integrados-ao-ensino-medio e https://www.ifes.edu.br/processosseletivos/alunos/item/3093-ps-24-2024-cursos-tecnicos-concomitantes-e-subsequentes
2024/1;95/2023 e 96/2023;https://www.ifes.edu.br/processosseletivos/alunos/item/2984-ps-95-2023-cursos-tecnicos-integrados e https://www.ifes.edu.br/processosseletivos/alunos/item/2985-ps-96-2023-cursos-tecnicos-concomitantes-e-subsequentes
2023/2;42/2023 e 43/2023;https://www.ifes.edu.br/processosseletivos/alunos/item/2882-edital-n-42-2023-curso-tecnico-integrado e https://www.ifes.edu.br/processosseletivos/alunos/item/2884-edital-n-43-2023-cursos-tecnicos-concomitantes-e-subsequentes
2023/1;84/2022 e 155/2022 e 83/2022;https://www.ifes.edu.br/processosseletivos/alunos/item/2752-ps-84-2022-cursos-tecnicos-integrados e https://vitoria.ifes.edu.br/processos-seletivos/alunos/18364-edital-155-2022-cursos-tecnicos-concomitantes e https://www.ifes.edu.br/processosseletivos/alunos/item/2751-ps-83-2022-cursos-tecnicos-concomitantes-e-subsequentes
2022/2;60/2022 e 59/2022;https://www.ifes.edu.br/processosseletivos/alunos/item/2712-ps-60-2022-curso-tecnico-integrado-internet-das-coisas e https://www.ifes.edu.br/processosseletivos/alunos/item/2711-ps-59-2022-cursos-tecnicos-concomitantes-e-subsequentes
2022/1;73/2021 e 74/2021;https://www.ifes.edu.br/processosseletivos/alunos/item/2582-edital-73-2021-cursos-tecnicos-multicampi-integrados-ao-ensino-medio e https://www.ifes.edu.br/processosseletivos/alunos/item/2583-edital-74-2021-cursos-tecnicos-multicampi-integrados-proeja-concomitantes-e-subsequentes
2021/2;60/2021 e 55/2021;https://www.ifes.edu.br/processosseletivos/alunos/item/2570-ps-60-2021-curso-tecnico-integrado-ao-ensino-medio-internet-das-coisas-campus-serra e https://www.ifes.edu.br/processosseletivos/alunos/item/2562-ps-55-2021-cursos-tecnicos-multicampi
2021/1;11/2021 e 12/2021;https://www.ifes.edu.br/resultados-processo-seletivo/19751-11-2021-integrados e https://www.ifes.edu.br/resultados-processo-seletivo/19752-12-2021-subsequentes-concomitantes
2020/2;-;Não teve edital por causa da pandemia
2020/1;01/2020 e 03/2020;https://www.ifes.edu.br/processosseletivos/alunos/item/2408-ps-1-2020-cursos-tecnicos-multicampi-integrados-ao-ensino-medio e https://www.ifes.edu.br/processosseletivos/alunos/item/2406-ps-3-2020-cursos-tecnicos-multicampi-concomitantes-e-subsequentes
2019/2;34/2019;https://www.ifes.edu.br/processosseletivos/alunos/item/2361-ps-34-cursos-tecnicos-multicampi
2019/1;01/2019;https://www.ifes.edu.br/processosseletivos/alunos/item/2307-ps-1-2019-cursos-tecnicos-multicampi
2018/2;33/2018;https://www.ifes.edu.br/processosseletivos/alunos/item/2275-ps-33-2018-cursos-tecnicos-concomitantes-e-subsequentes
2018/1;01/2018;https://www.ifes.edu.br/processosseletivos/alunos/item/2220-ps-1-2018-cursos-tecnicos-multicampi
2017/2;32/2017;https://www.ifes.edu.br/processosseletivos/alunos/item/2167-ps-32-2017-cursos-tecnicos-e-de-especializacao-tecnica
2017/1;04/2017;https://www.ifes.edu.br/processosseletivos/alunos/item/2110-ps-04-2017-cursos-tecnicos-multicampi
2016/2;20/2016;https://www.ifes.edu.br/processosseletivos/alunos/item/2070-ps-20-2016-cursos-tecnicos-multicampi201
2016/1;01/2016;https://www.ifes.edu.br/processosseletivos/alunos/item/2000-ps-1-2016-cursos-tecnicos-multicampi
2015/2;27/2015 e 24/2015;https://www.ifes.edu.br/processosseletivos/alunos/item/1972-cursos-tecnicos-campus-vitoria e https://www.ifes.edu.br/processosseletivos/alunos/item/1962-ps-24-cursos-tecnicos-multicampi
2015/1;07/2015 e 01/2015;https://www.ifes.edu.br/processosseletivos/alunos/item/1795-ps-7-cursos-tecnicos-multicampi e https://www.ifes.edu.br/processosseletivos/alunos/item/1781-ps-1-cursos-tecnicos-multicampi
2014/2;14/2014;https://www.ifes.edu.br/processosseletivos/alunos/item/1656-ps-14-2014-cursos-tecnicos-multicampi
2014/1;01/2014;https://www.ifes.edu.br/processosseletivos/alunos/item/1919-ps-1-2014-cursos-tecnicos-multicampi
2013/2;16/2013;https://www.ifes.edu.br/processosseletivos/alunos/item/1575-ps-16-cursos-tecnicos-multicampi-2013
2013/1;01/2013;https://www.ifes.edu.br/processosseletivos/alunos/item/1520-ps1cursostecnicosmulticampi3376
2012/2;22/2012;https://www.ifes.edu.br/processosseletivos/alunos/item/1473-ps-22-cursos-tecnicos-2012
2012/1;01/2012;https://www.ifes.edu.br/processosseletivos/alunos/item/1427-ps1cursostecnicosmulticampi2380
2011/2;21/2011;https://www.ifes.edu.br/processosseletivos/alunos/item/1387-processoseletivosimplificado211931
2011/1;01/2011;https://www.ifes.edu.br/processosseletivos/alunos/item/1881-processo-seletivo-simplificado-1-2011
2010/2;20/2010;https://www.ifes.edu.br/processosseletivos/alunos/item/1320-processoseletivosimplificado201124
2010/1;01/2010;https://www.ifes.edu.br/processosseletivos/alunos/item/1250-processo-seletivo-simplificado-01-2010
2009/2;05/2009;https://www.ifes.edu.br/processosseletivos/alunos/item/1013-processo-seletivo-simplificado-5-2009
2009/1;01/2009;https://www.ifes.edu.br/processosseletivos/alunos/item/1015-processo-seletivo-simplificado-1-2009
2008/2;03/2008;https://www.ifes.edu.br/processosseletivos/alunos/item/1815-processo-seletivo-simplificado-3
2008/1;01/2008;https://www.ifes.edu.br/processosseletivos/alunos/item/1817-processo-seletivo-simplificado-1
2007/2;06/2007;https://www.ifes.edu.br/processosseletivos/alunos/item/1826-processo-seletivo-simplificado-6-2007
2007/1;01/2007;https://www.ifes.edu.br/processosseletivos/alunos/item/1830-processo-seletivo-simplificado-1-2007
