TIPO DE CURSO;EIXO TECNOLÓGICO;CURSO;FEC
Educação Infantil;Propedêutico;Propedêutico - Educação Infantil-Pré-escola;2,000
Ensino Fundamental I;Propedêutico;Propedêutico - Ensino Fundamental- Anos Iniciais;1,500
Ensino Fundamental II;Propedêutico;Propedêutico - Ensino Fundamental-Anos finais;1,067
Ensino Médio;Propedêutico;Propedêutico - Ensino Médio;1,067
Qualificação Profissional;TODOS;TODOS;1,100
Técnico;Ambiente e Saúde;TÉCNICO EM AGENTE COMUNITÁRIO DE SAÚDE;1,017
Técnico;Ambiente e Saúde;TÉCNICO EM ANÁLISES CLÍNICAS;1,500
Técnico;Ambiente e Saúde;TÉCNICO EM BIOTECNOLOGIA;1,053
Técnico;Ambiente e Saúde;TÉCNICO EM CITOPATOLOGIA;1,200
Técnico;Ambiente e Saúde;TÉCNICO EM CONTROLE AMBIENTAL;1,049
Técnico;Ambiente e Saúde;TÉCNICO EM CUIDADOS DE IDOSOS;1,098
Técnico;Ambiente e Saúde;TÉCNICO EM ENFERMAGEM;1,500
Técnico;Ambiente e Saúde;TÉCNICO EM EQUIPAMENTOS BIOMÉDICOS;1,117
Técnico;Ambiente e Saúde;TÉCNICO EM ESTÉTICA;1,333
Técnico;Ambiente e Saúde;TÉCNICO EM FARMÁCIA;1,097
Técnico;Ambiente e Saúde;TÉCNICO EM GERÊNCIA DE SAÚDE;1,000
Técnico;Ambiente e Saúde;TÉCNICO EM HEMOTERAPIA;1,200
Técnico;Ambiente e Saúde;TÉCNICO EM IMAGEM PESSOAL;1,200
Técnico;Ambiente e Saúde;TÉCNICO EM IMOBILIZAÇÕES ORTOPÉDICAS;1,300
Técnico;Ambiente e Saúde;TÉCNICO EM MASSOTERAPIA;1,500
Técnico;Ambiente e Saúde;TÉCNICO EM MEIO AMBIENTE;1,020
Técnico;Ambiente e Saúde;TÉCNICO EM METEOROLOGIA;1,000
Técnico;Ambiente e Saúde;TÉCNICO EM NECROPSIA;1,200
Técnico;Ambiente e Saúde;TÉCNICO EM NUTRIÇÃO E DIETÉTICA;1,266
Técnico;Ambiente e Saúde;TÉCNICO EM ÓPTICA;1,100
Técnico;Ambiente e Saúde;TÉCNICO EM ÓRTESES E PRÓTESES;1,100
Técnico;Ambiente e Saúde;TÉCNICO EM PODOLOGIA;1,100
Técnico;Ambiente e Saúde;TÉCNICO EM PRÓTESE DENTÁRIA;1,500
Técnico;Ambiente e Saúde;TÉCNICO EM RADIOLOGIA;1,100
Técnico;Ambiente e Saúde;TÉCNICO EM REABILITAÇÃO DE DEPENDENTES QUÍMICOS;1,200
Técnico;Ambiente e Saúde;TÉCNICO EM RECICLAGEM;1,000
